uid,recommendations
3609,"['Hyakujuu-Ou GoLion', 'Kousoku Denjin Albegus']"
22345,"['Popee the Performer', 'Gregory Horror Show']"
1262,['Kidou Senshi Gundam: Gyakushuu no Char']
1852,"['Lucky☆Star', 'GA: Geijutsuka Art Design Class', ""Sketchbook: Full Color's"", 'Azumanga Daiou The Animation', 'K-On!', 'Yuru Yuri', 'Yuyushiki', 'Koufuku Graffiti', 'Aria the Animation', 'Mahou Shoujo Madoka★Magica', 'Paniponi Dash!', 'Hyakko', 'Mahoraba: Heartful Days', 'Sayonara Zetsubou Sensei', 'Acchi Kocchi', 'Yuru Camp△', 'Ichigo Mashimaro', 'Gakuen Utopia Manabi Straight!', 'Hetalia Axis Powers', 'Kiniro Mosaic', 'Anne Happy♪', 'Boku no Imouto wa ""Osaka Okan""', 'Slow Start', 'Binchou-tan', 'Gochuumon wa Usagi desu ka?', 'Kill Me Baby', 'Comic Girls', 'Bakemonogatari', 'Yurumates', 'Minami-ke', 'A-Channel', 'Bamboo Blade', 'Negima!?', 'Usagi Drop', 'Tamako Market', 'Binzume Yousei', 'Morita-san wa Mukuchi. 2', 'Tamayura', 'Tamayura: Hitotose', 'Sakura Trick', 'Joshiraku']"
2824,['Shin Calimero']
3086,"['Fullmetal Alchemist', 'Claymore', 'Ao no 6-gou', 'Tokkou', 'Ga-Rei: Zero', 'A.D. Police (TV)', 'D.Gray-man', 'Fullmetal Alchemist: Brotherhood', 'Zetman', 'Sin: The Movie', 'Kakugo no Susume', 'Elfen Lied', 'Karas', 'Blood+', 'Kyoushoku Soukou Guyver (2005)', 'Blassreiter', 'Kyoushoku Soukou Guyver (1989)', 'Jin-Rou']"
4927,['California Crisis: Tsuigeki no Juuka']
916,"['Blood+', 'Gantz', 'Elfen Lied', 'Claymore', 'Yakushiji Ryouko no Kaiki Jikenbo', 'Ga-Rei: Zero', 'Top Secret: The Revelation', 'Mnemosyne: Mnemosyne no Musume-tachi', 'Zetman', 'Strait Jacket', 'Kiseijuu: Sei no Kakuritsu', 'Hellsing', 'Tokyo Majin Gakuen Kenpuuchou: Tou', 'Devil May Cry', 'Highschool of the Dead', 'Deadman Wonderland']"
23229,['Minna Atsumare! Falcom Gakuen']
6919,"['Tokyo ESP', 'Zettai Karen Children: The Unlimited - Hyoubu Kyousuke', 'Akame ga Kill!', 'Darker than Black: Kuro no Keiyakusha', 'Boku no Hero Academia', 'Senkou no Night Raid', 'Wolverine', 'Night Head Genesis', 'Witch Hunter Robin', 'Tiger & Bunny']"
