uid,titles,genre,aired,episodes,members,popularity,ranked,score,url
1,"['Cowboy Bebop', 'カウボーイビバップ', 'Cowboy Bebop']","['Action', 'Award Winning', 'Sci-Fi']",1998-04-03 - 1999-04-24,26,1911083,43,49,8.75,https://myanimelist.net/anime/1/Cowboy_Bebop
6,"['Trigun', 'トライガン', 'Trigun']","['Action', 'Adventure', 'Sci-Fi']",1998-04-01 - 1998-09-30,26,780388,258,352,8.22,https://myanimelist.net/anime/6/Trigun
7,"['Witch Hunter Robin', 'WHR', 'Witch Hunter ROBIN (ウイッチハンターロビン)', 'Witch Hunter Robin']","['Action', 'Drama', 'Mystery', 'Supernatural']",2002-07-03 - 2002-12-25,26,119486,1905,3098,7.24,https://myanimelist.net/anime/7/Witch_Hunter_Robin
8,"['Bouken Ou Beet', 'Adventure King Beet', '冒険王ビィト', 'Beet the Vandel Buster']","['Action', 'Adventure', 'Fantasy']",2004-09-30 - 2005-09-29,52,15988,5479,4566,6.93,https://myanimelist.net/anime/8/Bouken_Ou_Beet
15,"['Eyeshield 21', 'Eyeshield21', 'アイシールド21']",['Sports'],2005-04-06 - 2008-03-19,145,186862,1325,783,7.91,https://myanimelist.net/anime/15/Eyeshield_21
16,"['Hachimitsu to Clover', 'HachiKuro', 'Honey & Clover', 'ハチミツとクローバー', 'Honey and Clover', 'Honey and Clover', 'Honey and Clover', 'Honey and Clover']","['Comedy', 'Drama', 'Romance']",2005-04-15 - 2005-09-27,24,272559,925,658,7.99,https://myanimelist.net/anime/16/Hachimitsu_to_Clover
17,"['Hungry Heart: Wild Striker', 'ハングリーハート Wild Striker']","['Comedy', 'Slice of Life', 'Sports']",2002-09-11 - 2003-09-10,52,25655,4512,1746,7.54,https://myanimelist.net/anime/17/Hungry_Heart__Wild_Striker
18,"['Initial D Fourth Stage', 'Initial D 4th Stage', '頭文字〈イニシャル〉D FOURTH STAGE', 'Initial D: Supera el Límite de Velocidad Temporada 4', 'Initial D 4ème-Etape']","['Action', 'Drama']",2004-04-17 - 2006-02-18,24,195088,1276,431,8.17,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
19,"['Monster', 'モンスター', 'Monster']","['Drama', 'Mystery', 'Suspense']",2004-04-07 - 2005-09-28,74,1169587,126,24,8.88,https://myanimelist.net/anime/19/Monster
20,"['Naruto', 'NARUTO', 'ナルト', 'Naruto']","['Action', 'Adventure', 'Fantasy']",2002-10-03 - 2007-02-08,220,2913843,9,653,8,https://myanimelist.net/anime/20/Naruto
21,"['One Piece', 'OP', 'ONE PIECE', 'One Piece']","['Action', 'Adventure', 'Fantasy']",1999-10-20 - Present,,2435456,19,57,8.72,https://myanimelist.net/anime/21/One_Piece
22,"['Tennis no Oujisama', 'TeniPuri', 'PoT', 'テニスの王子様', 'The Prince of Tennis', 'The Prince of Tennis']",['Sports'],2001-10-10 - 2005-03-23,178,188386,1316,901,7.85,https://myanimelist.net/anime/22/Tennis_no_Oujisama
23,"['Ring ni Kakero 1', 'Put it all in the Ring', 'リングにかけろ１']",['Sports'],2004-10-06 - 2004-12-15,12,5305,8548,7770,6.36,https://myanimelist.net/anime/23/Ring_ni_Kakero_1
24,"['School Rumble', 'スクールランブル', 'School Rumble']","['Comedy', 'Romance']",2004-10-05 - 2005-03-29,26,332523,750,833,7.89,https://myanimelist.net/anime/24/School_Rumble
25,"['Sunabouzu', 'Sunabozu', '砂ぼうず', 'Desert Punk', 'Desert Punk', 'Desert Punk', 'Desert Punk']","['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",2004-10-06 - 2005-03-30,24,143021,1662,2399,7.37,https://myanimelist.net/anime/25/Sunabouzu
26,"['Texhnolyze', 'Technolyze', 'TEXHNOLYZE', 'Texhnolyze']","['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']",2003-04-17 - 2003-09-25,22,260516,969,1106,7.76,https://myanimelist.net/anime/26/Texhnolyze
27,"['Trinity Blood', 'トリニティ・ブラッド', 'Trinity Blood']","['Action', 'Fantasy']",2005-04-29 - 2005-10-28,24,188688,1313,2860,7.28,https://myanimelist.net/anime/27/Trinity_Blood
28,"['Yakitate!! Japan', 'Freshly Baked!! Ja-pan!', '焼きたて!! ジャぱん', 'Yakitate!! Japan']","['Comedy', 'Gourmet']",2004-10-12 - 2006-03-14,69,100133,2163,777,7.91,https://myanimelist.net/anime/28/Yakitate_Japan
29,"['Zipang', 'ジパング']","['Action', 'Drama', 'Sci-Fi']",2004-10-08 - 2005-04-01,26,23571,4678,1945,7.49,https://myanimelist.net/anime/29/Zipang
30,"['Shinseiki Evangelion', 'NGE', 'Evangelion (1995)', '新世紀エヴァンゲリオン', 'Neon Genesis Evangelion']","['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']",1995-10-04 - 1996-03-27,26,1865661,45,230,8.35,https://myanimelist.net/anime/30/Shinseiki_Evangelion
33,"['Kenpuu Denki Berserk', 'Berserk: The Chronicles of Wind Blades', 'Sword-Wind Chronicle Berserk', '剣風伝奇ベルセルク', 'Berserk', 'Berserk', 'Berserk', 'Berserk']","['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",1997-10-08 - 1998-04-01,25,686910,310,97,8.59,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
44,"['Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen', 'Rurouni Kenshin: Tsuiokuhen', 'Rurouni Kenshin: Reminiscence', 'るろうに剣心―明治剣客浪漫譚―追憶編', 'Samurai X: Trust and Betrayal', 'Rurouni Kenshin Trust and Betrayal', 'Kenshin: El Guerrero Samurai ""Recuerdos""', 'Kenshin Le Vagabond: Le Chapitre de la Mémoire']","['Action', 'Drama', 'Romance']",1999-02-20 - 1999-09-22,4,280599,902,63,8.7,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
45,"['Rurouni Kenshin: Meiji Kenkaku Romantan', 'Samurai X', 'Wandering Kenshin: Romantic Tales from the Meiji Era', 'るろうに剣心 -明治剣客浪漫譚-', 'Rurouni Kenshin', 'Rurouni Kenshin', 'Kenshin, el Guerrero Samurai', 'Kenshin le Vagabond']","['Action', 'Comedy', 'Romance']",1996-01-10 - 1998-09-08,94,503835,460,295,8.28,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
48,"['.hack//Sign', '.hack//SIGN', '.hack//Sign']","['Adventure', 'Fantasy', 'Mystery']",2002-04-04 - 2002-09-26,26,186392,1331,4484,6.95,https://myanimelist.net/anime/48/hack__Sign
49,"['Aa! Megami-sama!', 'Ah! My Goddess (OVA)', 'ああっ女神さまっ', 'Oh! My Goddess', 'Oh! My Goddess', 'Ah, Mi Diosa!', 'Ah! My Goddess']","['Comedy', 'Romance', 'Supernatural']",1993-02-21 - 1994-05-17,5,55609,3050,2866,7.28,https://myanimelist.net/anime/49/Aa_Megami-sama
50,"['Aa! Megami-sama! (TV)', 'Ah! My Goddess! (TV)', 'ああっ女神さまっ', 'Ah! My Goddess', 'Oh! My Goddess', 'Ah! My Goddess']","['Comedy', 'Romance', 'Supernatural']",2005-01-07 - 2005-07-08,24,163123,1501,2706,7.31,https://myanimelist.net/anime/50/Aa_Megami-sama_TV
51,"['Tenshi Kinryouku', '天使禁猟区', 'Angel Sanctuary', 'Angel Sanctuary', 'Angel Sanctuary', 'Angel Sanctuary']","['Action', 'Drama', 'Romance', 'Supernatural']",2000-05-25 - 2000-08-25,3,50418,3210,8456,6.24,https://myanimelist.net/anime/51/Tenshi_Kinryouku
52,"['Kidou Tenshi Angelic Layer', '機動天使エンジェリックレイヤー', 'Battle Doll Angelic Layer', 'Angelic Layer', 'Angelic Layer']","['Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",2001-04-01 - 2001-09-23,26,59979,2933,2973,7.26,https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer
53,"['Ai Yori Aoshi', 'Bluer Than Indigo', '藍より青し', 'Ai Yori Aoshi']","['Comedy', 'Drama', 'Romance']",2002-04-11 - 2002-09-26,24,113149,1991,3804,7.1,https://myanimelist.net/anime/53/Ai_Yori_Aoshi
55,"['Arc the Lad', 'Arc', 'アークザラッド']","['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",1999-04-05 - 1999-10-11,26,17203,5320,7005,6.49,https://myanimelist.net/anime/55/Arc_the_Lad
56,"['Avenger', 'アヴェンジャー']","['Adventure', 'Fantasy', 'Sci-Fi']",2003-10-02 - 2003-12-25,13,18469,5179,10385,5.86,https://myanimelist.net/anime/56/Avenger
57,"['Beck', 'BECK', 'ベック', 'Beck: Mongolian Chop Squad', 'Beck: Mongolian Chop Squad', 'Beck: Mongolian Chop Squad']","['Comedy', 'Drama']",2004-10-07 - 2005-03-31,26,349195,708,282,8.29,https://myanimelist.net/anime/57/Beck
58,"['Blue Gender', 'BLUE GENDER', 'Blue Gender']","['Action', 'Adventure', 'Drama', 'Horror', 'Sci-Fi']",1999-10-08 - 2000-03-31,26,83632,2414,4270,7.01,https://myanimelist.net/anime/58/Blue_Gender
