recId,recommendations,uid
1,'Cowboy Bebop',4087
1,'Cowboy Bebop',2451
1,'Cowboy Bebop',13203
1,'Cowboy Bebop',3436
1,'Cowboy Bebop',6
1,'Cowboy Bebop',1448
1,'Cowboy Bebop',1412
1,'Cowboy Bebop',400
1,'Cowboy Bebop',1194
1,'Cowboy Bebop',38003
1,'Cowboy Bebop',20057
1,'Cowboy Bebop',474
6,'Trigun',297
6,'Trigun',49709
6,'Trigun',1704
6,'Trigun',1599
6,'Trigun',411
6,'Trigun',45
7,'Witch Hunter Robin',20053
15,'Eyeshield 21',2228
16,'Hachimitsu to Clover',2508
17,'Hungry Heart: Wild Striker',183
19,'Monster',37525
19,'Monster',754
19,'Monster',239
19,'Monster',30740
19,'Monster',23281
20,'Naruto',912
20,'Naruto',3655
20,'Naruto',136
20,'Naruto',9806
20,'Naruto',34572
20,'Naruto',1988
21,'One Piece',19505
21,'One Piece',10033
21,'One Piece',6702
21,'One Piece',31741
21,'One Piece',223
21,'One Piece',32930
21,'One Piece',37202
24,'School Rumble',72
24,'School Rumble',5150
25,'Sunabouzu',1837
26,'Texhnolyze',2216
26,'Texhnolyze',385
27,'Trinity Blood',4752
28,'Yakitate!! Japan',28171
28,'Yakitate!! Japan',35788
29,'Zipang',2881
30,'Shinseiki Evangelion',949
30,'Shinseiki Evangelion',2291
30,'Shinseiki Evangelion',39587
30,'Shinseiki Evangelion',478
30,'Shinseiki Evangelion',4503
30,'Shinseiki Evangelion',75
30,'Shinseiki Evangelion',1529
30,'Shinseiki Evangelion',1136
30,'Shinseiki Evangelion',35847
30,'Shinseiki Evangelion',1251
30,'Shinseiki Evangelion',1915
30,'Shinseiki Evangelion',567
30,'Shinseiki Evangelion',1080
30,'Shinseiki Evangelion',930
30,'Shinseiki Evangelion',339
30,'Shinseiki Evangelion',48220
30,'Shinseiki Evangelion',1690
30,'Shinseiki Evangelion',2816
30,'Shinseiki Evangelion',90
30,'Shinseiki Evangelion',992
30,'Shinseiki Evangelion',80
33,'Kenpuu Denki Berserk',1818
33,'Kenpuu Denki Berserk',404
33,'Kenpuu Denki Berserk',267
44,'Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen',1267
45,'Rurouni Kenshin: Meiji Kenkaku Romantan',2214
45,'Rurouni Kenshin: Meiji Kenkaku Romantan',5091
45,'Rurouni Kenshin: Meiji Kenkaku Romantan',6811
50,'Aa! Megami-sama! (TV)',1644
50,'Aa! Megami-sama! (TV)',990
50,'Aa! Megami-sama! (TV)',626
50,'Aa! Megami-sama! (TV)',319
51,'Tenshi Kinryouku',4067
51,'Tenshi Kinryouku',258
52,'Kidou Tenshi Angelic Layer',1873
52,'Kidou Tenshi Angelic Layer',11103
52,'Kidou Tenshi Angelic Layer',25939
52,'Kidou Tenshi Angelic Layer',38157
52,'Kidou Tenshi Angelic Layer',19319
53,'Ai Yori Aoshi',50
53,'Ai Yori Aoshi',20541
58,'Blue Gender',11021
58,'Blue Gender',888
59,'Chobits',201
59,'Chobits',63
59,'Chobits',573
59,'Chobits',318
59,'Chobits',8407
59,'Chobits',58272
60,'Chrno Crusade',10260
62,'D.C.: Da Capo',1581
62,'D.C.: Da Capo',694
62,'D.C.: Da Capo',4744
63,'DearS',5958
66,'Azumanga Daiou The Animation',4550
66,'Azumanga Daiou The Animation',3604
66,'Azumanga Daiou The Animation',8557
66,'Azumanga Daiou The Animation',2277
66,'Azumanga Daiou The Animation',1887
66,'Azumanga Daiou The Animation',383
67,'Basilisk: Kouga Ninpou Chou',4854
67,'Basilisk: Kouga Ninpou Chou',618
67,'Basilisk: Kouga Ninpou Chou',44
68,'Black Cat (TV)',132
72,'Full Metal Panic? Fumoffu',3616
74,'Gakuen Alice',1486
74,'Gakuen Alice',1808
75,'Soukyuu no Fafner: Dead Aggressor',878
76,'Mahou Shoujo Lyrical Nanoha',1688
76,'Mahou Shoujo Lyrical Nanoha',349
79,'Shuffle!',1692
79,'Shuffle!',62
80,'Kidou Senshi Gundam',36267
80,'Kidou Senshi Gundam',4242
80,'Kidou Senshi Gundam',865
80,'Kidou Senshi Gundam',2582
80,'Kidou Senshi Gundam',2253
81,'Kidou Senshi Gundam: Dai 08 MS Shoutai',1215
85,'Kidou Senshi Zeta Gundam',33064
85,'Kidou Senshi Zeta Gundam',929
86,'Kidou Senshi Gundam ZZ',48466
86,'Kidou Senshi Gundam ZZ',2598
93,'Kidou Senshi Gundam SEED',3059
93,'Kidou Senshi Gundam SEED',32792
94,'Kidou Senshi Gundam SEED Destiny',16049
96,'Kidou Butouden G Gundam',764
96,'Kidou Butouden G Gundam',53633
96,'Kidou Butouden G Gundam',24625
97,'Last Exile',1212
97,'Last Exile',19117
97,'Last Exile',1051
98,'Mai-HiME',65
98,'Mai-HiME',456
101,'Air',1965
101,'Air',880
101,'Air',1554
101,'Air',2105
102,'Aishiteruze Baby★★',1219
102,'Aishiteruze Baby★★',233
103,'Akazukin Chacha',331
103,'Akazukin Chacha',3022
103,'Akazukin Chacha',727
104,'Ayashi no Ceres',999
107,'Ou Dorobou Jing',8310
109,'Bakuretsu Tenshi',274
110,'Chuuka Ichiban!',2415
110,'Chuuka Ichiban!',6384
111,'Corrector Yui',2036
113,'Uchuu no Stellvia',5307
114,'Sakigake!! Cromartie Koukou',2518
114,'Sakigake!! Cromartie Koukou',582
114,'Sakigake!! Cromartie Koukou',16317
117,'Shinpi no Sekai El-Hazard',2523
117,'Shinpi no Sekai El-Hazard',539
119,'Final Approach',197
120,'Fruits Basket',10834
121,'Fullmetal Alchemist',3086
122,'Full Moon wo Sagashite',427
122,'Full Moon wo Sagashite',2044
122,'Full Moon wo Sagashite',476
122,'Full Moon wo Sagashite',2771
122,'Full Moon wo Sagashite',604
122,'Full Moon wo Sagashite',19351
122,'Full Moon wo Sagashite',1516
123,'Fushigi Yuugi',247
123,'Fushigi Yuugi',104
123,'Fushigi Yuugi',538
132,'GetBackers',3389
135,'Hikaru no Go',481
135,'Hikaru no Go',9952
135,'Hikaru no Go',234
135,'Hikaru no Go',506
135,'Hikaru no Go',13145
142,'Kamikaze Kaitou Jeanne',2043
142,'Kamikaze Kaitou Jeanne',61
143,'Kannazuki no Miko',1810
143,'Kannazuki no Miko',360
143,'Kannazuki no Miko',497
147,'Kimi ga Nozomu Eien',362
149,'Loveless',3656
149,'Loveless',1324
150,'Blood+',916
150,'Blood+',1225
150,'Blood+',4581
152,'Solty Rei',483
153,'Juuni Kokuki',251
153,'Juuni Kokuki',1826
153,'Juuni Kokuki',5041
153,'Juuni Kokuki',1827
156,'X',2685
156,'X',1052
158,'Maria-sama ga Miteru',3000
158,'Maria-sama ga Miteru',2570
158,'Maria-sama ga Miteru',51817
160,'Ima,89
160,'Ima,1169
160,'Ima,302
161,'Peace Maker Kurogane',13115
161,'Peace Maker Kurogane',6895
165,'RahXephon',285
167,'Scrapped Princess',20853
168,'s.CRY.ed',1492
168,'s.CRY.ed',236
170,'Slam Dunk',359
170,'Slam Dunk',9665
170,'Slam Dunk',406
170,'Slam Dunk',5258
170,'Slam Dunk',17
170,'Slam Dunk',2684
173,'Tactics',335
173,'Tactics',1557
174,'Tenjou Tenge',1956
174,'Tenjou Tenge',7580
174,'Tenjou Tenge',257
177,'Tsubasa Chronicle',115
178,'Ultra Maniac',4069
182,'Tenkuu no Escaflowne',435
182,'Tenkuu no Escaflowne',5153
182,'Tenkuu no Escaflowne',5702
183,'Whistle!',11697
185,'Initial D First Stage',50695
185,'Initial D First Stage',377
185,'Initial D First Stage',2608
185,'Initial D First Stage',27663
189,'Love Hina',394
189,'Love Hina',1186
189,'Love Hina',53
189,'Love Hina',4999
189,'Love Hina',259
193,'Maburaho',4214
194,'Macross Zero',1163
195,'Onegai☆Teacher',470
195,'Onegai☆Teacher',840
195,'Onegai☆Teacher',509
195,'Onegai☆Teacher',196
196,'Onegai☆Twins',346
198,'Speed Grapher',42808
198,'Speed Grapher',6573
201,'Video Girl Ai',3026
201,'Video Girl Ai',818
201,'Video Girl Ai',49
201,'Video Girl Ai',1084
202,"""Wolf's Rain""",5037
202,"""Wolf's Rain""",915
205,'Samurai Champloo',4151
205,'Samurai Champloo',16211
205,'Samurai Champloo',1167
205,'Samurai Champloo',1292
205,'Samurai Champloo',1
205,'Samurai Champloo',7588
205,'Samurai Champloo',166
206,'Lodoss-tou Senki: Eiyuu Kishi Den',4726
209,'R.O.D: The TV',55
210,'Ranma ½',744
210,'Ranma ½',50606
218,'Kidou Senkan Nadesico',10808
223,'Dragon Ball',2335
223,'Dragon Ball',2229
223,'Dragon Ball',5071
223,'Dragon Ball',39634
223,'Dragon Ball',1139
223,'Dragon Ball',40906
226,'Elfen Lied',2453
226,'Elfen Lied',3342
226,'Elfen Lied',529
226,'Elfen Lied',300
226,'Elfen Lied',2775
226,'Elfen Lied',34350
226,'Elfen Lied',21431
226,'Elfen Lied',10490
226,'Elfen Lied',935
227,'FLCL',379
227,'FLCL',306
227,'FLCL',8440
227,'FLCL',2152
227,'FLCL',57097
227,'FLCL',126
228,'Jigoku Shoujo',34550
228,'Jigoku Shoujo',1384
228,'Jigoku Shoujo',9935
230,'Air Master',968
232,'Cardcaptor Sakura',2923
232,'Cardcaptor Sakura',5678
232,'Cardcaptor Sakura',38923
232,'Cardcaptor Sakura',3112
232,'Cardcaptor Sakura',14829
232,'Cardcaptor Sakura',177
232,'Cardcaptor Sakura',1570
232,'Cardcaptor Sakura',7082
232,'Cardcaptor Sakura',111
232,'Cardcaptor Sakura',178
235,'Meitantei Conan',244
235,'Meitantei Conan',2076
235,'Meitantei Conan',22817
237,'Koukyoushihen Eureka Seven',1868
237,'Koukyoushihen Eureka Seven',473
237,'Koukyoushihen Eureka Seven',33797
237,'Koukyoushihen Eureka Seven',92
237,'Koukyoushihen Eureka Seven',2215
237,'Koukyoushihen Eureka Seven',31318
237,'Koukyoushihen Eureka Seven',97
238,'Rekka no Honoo',678
239,'Gankutsuou',31227
239,'Gankutsuou',1699
245,'Great Teacher Onizuka',24833
245,'Great Teacher Onizuka',1470
245,'Great Teacher Onizuka',30654
245,'Great Teacher Onizuka',3545
245,'Great Teacher Onizuka',242
245,'Great Teacher Onizuka',1608
248,'Ichigo 100%',1555
249,'InuYasha',1573
249,'InuYasha',842
249,'InuYasha',23201
249,'InuYasha',210
249,'InuYasha',123
249,'InuYasha',31610
249,'InuYasha',28537
249,'InuYasha',998
250,'Konjiki no Gash Bell!!',2786
250,'Konjiki no Gash Bell!!',1707
251,'Kyou kara Maou!',1035
251,'Kyou kara Maou!',4814
252,'Madlax',2030
252,'Madlax',1224
253,'Jungle wa Itsumo Hare nochi Guu',4331
257,'Ikkitousen',4262
257,'Ikkitousen',54259
257,'Ikkitousen',686
257,'Ikkitousen',4719
257,'Ikkitousen',174
263,'Hajime no Ippo',3568
263,'Hajime no Ippo',21185
263,'Hajime no Ippo',2921
263,'Hajime no Ippo',3213
263,'Hajime no Ippo',388
263,'Hajime no Ippo',287
263,'Hajime no Ippo',1559
263,'Hajime no Ippo',2402
267,'Gungrave',958
268,'Golden Boy',579
268,'Golden Boy',2609
268,'Golden Boy',841
269,'Bleach',864
269,'Bleach',51179
269,'Bleach',1254
269,'Bleach',1735
269,'Bleach',1536
269,'Bleach',91
270,'Hellsing',27
270,'Hellsing',1498
270,'Hellsing',1726
271,'Gad Guard',32961
272,'Noir',252
276,'Mahoromatic: Automatic Maiden',3085
283,'Akage no Anne',2225
283,'Akage no Anne',2548
283,'Akage no Anne',1663
286,"""B'T X""",1746
287,'Grappler Baki (TV)',2797
288,'Bakuten Shoot Beyblade',3012
288,'Bakuten Shoot Beyblade',2703
289,'Comic Party',2166
300,'3x3 Eyes',620
302,'Mirai Shounen Conan',2254
302,'Mirai Shounen Conan',3327
305,'Abashiri Ikka',2239
305,'Abashiri Ikka',17501
311,'Ace wo Nerae!',4339
321,'Najica Dengeki Sakusen',6443
321,'Najica Dengeki Sakusen',1583
322,'Paradise Kiss',852
324,'Kidou Keisatsu Patlabor: On Television',1372
330,'Midori no Hibi',776
333,'Mama wa Shougaku 4-nensei',4086
